Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
sha3_256,4,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,16,0.0,15.1875
sha3_256,16,0.0,15.1875
sha3_256,16,0.0,15.1875
sha3_256,16,43.2,15.1875
sha3_256,16,52.2,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,64,0.0,11.0
sha3_256,64,0.0,11.0
sha3_256,64,0.0,11.0
sha3_256,64,69.1,11.0
sha3_256,64,66.0,11.0
sha3_256,128,63.2,10.578125
sha3_256,128,0.0,10.578125
sha3_256,128,0.0,10.578125
sha3_256,128,74.0,10.578125
sha3_256,128,67.0,10.578125
sha3_256,200,70.5,10.265625
sha3_256,200,54.8,10.265625
sha3_256,200,45.8,10.265625
sha3_256,200,0.0,10.265625
sha3_256,200,65.9,10.265625
sha3_256,512,56.2,10.1875
sha3_256,512,46.9,10.1875
sha3_256,512,43.7,10.1875
sha3_256,512,49.7,10.1875
sha3_256,512,44.9,10.1875
blake2s,1,42.9,10.03125
blake2s,1,0.0,10.03125
blake2s,1,50.0,10.03125
blake2s,1,100.0,10.03125
blake2s,1,50.0,10.03125
blake2s,2,20.0,10.0625
blake2s,2,0.0,10.0625
blake2s,2,33.3,10.0625
blake2s,2,0.0,10.0625
blake2s,2,0.0,10.0625
blake2s,4,0.0,10.09375
blake2s,4,0.0,10.09375
blake2s,4,0.0,10.09375
blake2s,4,0.0,10.09375
blake2s,4,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,32,0.0,10.109375
blake2s,32,0.0,10.109375
blake2s,32,0.0,10.109375
blake2s,32,0.0,10.109375
blake2s,32,0.0,10.109375
blake2s,64,0.0,10.109375
blake2s,64,0.0,10.109375
blake2s,64,44.1,10.109375
blake2s,64,40.0,10.109375
blake2s,64,0.0,10.109375
blake2s,128,0.0,10.109375
blake2s,128,0.0,10.109375
blake2s,128,46.7,10.109375
blake2s,128,38.4,10.109375
blake2s,128,39.2,10.109375
blake2s,200,0.0,9.890625
blake2s,200,43.7,9.890625
blake2s,200,49.7,9.890625
blake2s,200,42.9,9.890625
blake2s,200,51.0,9.890625
blake2s,512,40.0,9.890625
blake2s,512,41.9,9.890625
blake2s,512,45.5,9.890625
blake2s,512,43.3,9.890625
blake2s,512,40.4,9.890625
blake2b,1,0.0,9.90625
blake2b,1,0.0,9.90625
blake2b,1,100.0,9.90625
blake2b,1,100.0,9.90625
blake2b,1,100.0,9.90625
blake2b,2,28.6,9.90625
blake2b,2,0.0,9.90625
blake2b,2,0.0,9.90625
blake2b,2,0.0,9.90625
blake2b,2,0.0,9.90625
blake2b,4,0.0,9.90625
blake2b,4,0.0,9.90625
blake2b,4,0.0,9.90625
blake2b,4,0.0,9.90625
blake2b,4,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,128,42.1,9.90625
blake2b,128,40.0,9.90625
blake2b,128,0.0,9.90625
blake2b,128,0.0,9.90625
blake2b,128,0.0,9.90625
blake2b,200,0.0,9.828125
blake2b,200,44.5,9.828125
blake2b,200,40.6,9.828125
blake2b,200,40.7,9.828125
blake2b,200,40.1,9.828125
blake2b,512,41.4,9.828125
blake2b,512,45.3,9.828125
blake2b,512,42.4,9.828125
blake2b,512,43.0,9.828125
blake2b,512,49.6,9.828125
blake3,1,50.0,9.890625
blake3,1,0.0,9.890625
blake3,1,0.0,9.890625
blake3,1,100.0,9.890625
blake3,1,0.0,9.890625
blake3,2,0.0,10.078125
blake3,2,0.0,10.078125
blake3,2,0.0,10.078125
blake3,2,0.0,10.078125
blake3,2,0.0,10.078125
blake3,4,0.0,10.1875
blake3,4,0.0,10.1875
blake3,4,0.0,10.1875
blake3,4,0.0,10.1875
blake3,4,0.0,10.1875
blake3,8,0.0,10.203125
blake3,8,0.0,10.203125
blake3,8,0.0,10.203125
blake3,8,0.0,10.203125
blake3,8,0.0,10.203125
blake3,16,0.0,10.203125
blake3,16,0.0,10.203125
blake3,16,0.0,10.203125
blake3,16,0.0,10.203125
blake3,16,0.0,10.203125
blake3,32,0.0,10.234375
blake3,32,0.0,10.234375
blake3,32,0.0,10.234375
blake3,32,0.0,10.234375
blake3,32,0.0,10.234375
blake3,64,0.0,10.234375
blake3,64,0.0,10.234375
blake3,64,0.0,10.234375
blake3,64,0.0,10.234375
blake3,64,0.0,10.234375
blake3,128,46.6,10.0625
blake3,128,41.8,10.0625
blake3,128,52.6,10.0625
blake3,128,44.0,10.0625
blake3,128,47.2,10.0625
blake3,200,37.8,10.0625
blake3,200,50.0,10.0625
blake3,200,48.5,10.0625
blake3,200,40.2,10.0625
blake3,200,44.4,10.0625
blake3,512,44.2,10.0625
blake3,512,47.4,10.0625
blake3,512,50.9,10.0625
blake3,512,51.0,10.0625
blake3,512,45.8,10.0625
