Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
sha3_256,1,0.0,123.80859375
sha3_256,1,50.0,123.80859375
sha3_256,1,0.0,123.80859375
sha3_256,1,100.0,123.80859375
sha3_256,2,0.0,123.80859375
sha3_256,2,50.0,123.80859375
sha3_256,2,50.0,123.80859375
sha3_256,2,100.0,123.80859375
sha3_256,2,0.0,123.80859375
sha3_256,4,50.0,123.80859375
sha3_256,4,66.7,123.80859375
sha3_256,4,33.3,123.80859375
sha3_256,4,66.7,123.80859375
sha3_256,4,33.3,123.80859375
sha3_256,8,50.0,123.80859375
sha3_256,8,57.1,123.80859375
sha3_256,8,50.0,123.80859375
sha3_256,8,42.9,123.80859375
sha3_256,8,50.0,123.80859375
sha3_256,16,53.8,123.80859375
sha3_256,16,57.1,123.80859375
sha3_256,16,50.0,123.80859375
sha3_256,16,50.0,123.80859375
sha3_256,16,50.0,123.80859375
sha3_256,32,50.0,123.80859375
sha3_256,32,52.0,123.80859375
sha3_256,32,48.0,123.80859375
sha3_256,32,52.0,123.80859375
sha3_256,32,55.6,123.80859375
sha3_256,64,51.0,123.80859375
sha3_256,64,50.0,123.80859375
sha3_256,64,51.0,123.80859375
sha3_256,64,50.0,123.80859375
sha3_256,64,50.0,123.80859375
sha3_256,128,51.0,123.80859375
sha3_256,128,50.0,123.80859375
sha3_256,128,51.9,123.80859375
sha3_256,128,52.4,123.80859375
sha3_256,128,54.1,123.80859375
sha3_256,200,52.2,123.80859375
sha3_256,200,50.3,123.80859375
sha3_256,200,51.3,123.80859375
sha3_256,200,52.2,123.80859375
sha3_256,200,50.3,123.80859375
sha3_256,512,51.5,123.80859375
sha3_256,512,50.7,123.80859375
sha3_256,512,51.5,123.80859375
sha3_256,512,51.2,123.80859375
sha3_256,512,51.8,123.80859375
blake2s,1,0.0,124.125
blake2s,1,0.0,124.125
blake2s,1,50.0,124.125
blake2s,1,0.0,124.125
blake2s,1,0.0,124.125
blake2s,2,50.0,124.125
blake2s,2,100.0,124.125
blake2s,2,0.0,124.125
blake2s,2,50.0,124.125
blake2s,2,0.0,124.125
blake2s,4,50.0,124.125
blake2s,4,50.0,124.125
blake2s,4,50.0,124.125
blake2s,4,50.0,124.125
blake2s,4,66.7,124.125
blake2s,8,40.0,124.125
blake2s,8,50.0,124.125
blake2s,8,60.0,124.125
blake2s,8,50.0,124.125
blake2s,8,50.0,124.125
blake2s,16,50.0,124.125
blake2s,16,54.5,124.125
blake2s,16,55.6,124.125
blake2s,16,44.4,124.125
blake2s,16,44.4,124.125
blake2s,32,50.0,124.125
blake2s,32,52.6,124.125
blake2s,32,50.0,124.125
